Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
270,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,1545.481225,88.53725312,5.728782187,17.1620552,0.000215501
332,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1451.6496,99.57531582,6.859459461,14.3172993,0.000369218
606,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1150.56975,135.9731438,11.81789664,8.270528417,0.001851158
252,Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,278.745475,46.34065972,16.62472179,5.454075891,0.00605432
251,Neu5Aca2-3Galb1-4(6S)GlcNAcb-Sp8,249.62745,47.95794402,19.21180704,4.662990763,0.009307641
601,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,248.185425,10.52960691,4.242637097,21.101018,0.000116421
271,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,226.25435,29.69010989,13.1224482,6.744816733,0.003328034
605,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,176.269775,12.59776594,7.146866752,11.92828758,0.000633616
597,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3GalNAca-Sp14,159.2752,61.9951153,38.92326947,2.149769371,0.060367103
481,Neu5Aca2-6Galb1-4 GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3)GalNAca-Sp14,86.9109,14.7825758,17.00888588,4.120452404,0.012954258
502,Neu5Aca2-6GalNAcb1-4(6S)GlcNAcb-Sp8,77.29505,9.559299056,12.36728491,5.365984441,0.006334229
267,Neu5Aca2-6Galb1-4(6S)GlcNAcb-Sp8,77.251925,43.90170806,56.82927391,1.167424396,0.163694366
393,GalNAca1-3(Fuca1-2)Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,76.002175,18.12481302,23.8477557,2.758769149,0.0351123
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,62.573875,21.51070405,34.37649346,1.700263967,0.093820155
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,58.6552,10.27454271,17.51684881,3.178263105,0.025080456
269,Neu5Aca2-6Galb1-4GlcNAcb-Sp8,51.761625,11.86150822,22.91564111,2.171867568,0.059124198
