Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
241,Neu5Aca2-3Galb1-4(Neu5Aca2-3Galb1-3)GlcNAcb-Sp8,887,78,9,11.36879439,0.000730014
474,Neu5Aca2-3Galb1-3GlcNAcb1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2)Mana1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,720,32,4,22.66673108,9.40241E-05
325,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,442,49,11,9.108419694,0.001398236
471,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,415,39,9,10.73651817,0.000863875
258,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,409,40,10,10.34012054,0.000964786
252,Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,396,44,11,8.917020106,0.001487511
257,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4GlcNAcb-Sp8,345,29,8,11.7719198,0.000658765
240,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,331,28,8,11.97130962,0.000626921
242,Neu5Aca2-3Galb1-3(6S)GalNAca-Sp8,311,67,22,4.624510864,0.009518602
331,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,298,38,13,7.876603744,0.002131966
234,Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,283,56,20,5.077496348,0.007378085
462,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-4(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,279,49,18,5.69981396,0.005354414
239,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp8,272,52,19,5.205108794,0.006890599
317,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,270,200,74,1.346839823,0.135369914
243,Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp8,266,35,13,7.506911751,0.002448986
261,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,258,47,18,5.442444497,0.006090339
260,Neu5Aca2-3Galb1-4GlcNAcb-Sp8,243,14,6,16.82520882,0.000228594
251,Neu5Aca2-3Galb1-4(6S)GlcNAcb-Sp8,235,23,10,10.04061798,0.001051634
264,Neu5Aca2-3Galb1-4Glcb-Sp8,234,44,19,5.327763183,0.006460939
259,Neu5Aca2-3Galb1-4GlcNAcb-Sp0,222,16,7,13.81604114,0.000410355
460,Neu5Aca2-3Galb1-4GlcNAcb1-4Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-4(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,210,15,7,13.67381431,0.000423129
263,Neu5Aca2-3Galb1-4Glcb-Sp0,209,46,22,4.540390855,0.01000185
255,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,194,43,22,4.46774413,0.010445086
534,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana-Sp0,193,56,29,3.486338659,0.019936063
604,GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,178,29,17,6.05739783,0.004513698
479,Neu5Aca2-3Galb1-4GlcNAcb1-6GalNAca-Sp14,165,26,16,6.445938929,0.003785976
247,Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,164,29,18,5.579863152,0.005682016
