Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
317,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,2060.08765,112.0211958,5.437690762,18.18484114,0.000181386
325,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1325.803175,159.3777154,12.02121992,8.174312022,0.001915006
474,Neu5Aca2-3Galb1-3GlcNAcb1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2)Mana1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,1278.28235,46.91283397,3.669989965,26.75775995,5.73E-05
252,Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,1137.37605,74.06996712,6.512355093,15.04491082,0.000318719
241,Neu5Aca2-3Galb1-4(Neu5Aca2-3Galb1-3)GlcNAcb-Sp8,1135.520575,33.5939608,2.958463417,33.11668373,3.03E-05
471,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,1101.561425,65.51706987,5.9476547,16.46229642,0.00024391
258,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,945.85635,22.50516781,2.379343101,41.00641941,1.60E-05
462,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-4(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,915.84175,66.44415592,7.254982197,13.43747599,0.00044555
247,Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,902.28005,44.59854846,4.942872056,19.71544098,0.000142565
253,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,837.185475,25.36406194,3.029682513,32.099964,3.32E-05
483,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,814.49935,43.16330123,5.299365952,18.33732192,0.000176931
331,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,763.870475,33.72564447,4.415099886,21.96757057,0.000103244
240,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,711.6446,40.91762632,5.749727648,16.83002319,0.000228399
460,Neu5Aca2-3Galb1-4GlcNAcb1-4Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-4(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,697.27475,27.99874838,4.015454221,24.08231757,7.85E-05
255,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,680.296875,48.85978284,7.182126604,13.45271789,0.000444057
534,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana-Sp0,678.0737,17.07664334,2.518405202,38.36080002,1.95E-05
