,Chart Number,Glycan Name_Seal,Average RFU_Seal,StDev_Seal,% CV_Seal,t-value_Seal,p-value_Seal,Average RFU_sequential_Seal,StDev_sequential_Seal,Glycan Name_Human,Average RFU_Human,StDev_Human,% CV_Human,t-value_Human,p-value_Human,Average RFU_sequential_Human,StDev_sequential_Human,alpha(2-3),alpha(2-6)
0,129,Galb1-3(Fuca1-4)GlcNAc-Sp8 ,9,7,80,1.248835199,0.150149953,15,21,Galb1-3(Fuca1-4)GlcNAc-Sp8 ,4,4,91,1.100759525,0.17569989800000002,4,6,False,False
1,122,Gala1-4Galb1-4Glcb-Sp0,6,6,110,0.91159687,0.21459724800000002,7,6,Gala1-4Galb1-4Glcb-Sp0,5,6,115,0.871958311,0.223700631,13,21,False,False
2,126,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,6,7,109,0.915450825,0.213730195,7,11,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,3,6,230,0.43401354799999997,0.34679865600000004,4,4,False,False
3,389,Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,13,15,109,0.9200346490000001,0.21270308100000002,4,6,Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,8,4,54,1.853444661,0.08043663599999999,1,7,False,False
4,50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5,5,109,0.9212209240000001,0.21243800100000002,1,5,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5,3,64,1.5560438140000001,0.108776933,8,5,False,False
5,522,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana-Sp0,5,5,108,0.923160503,0.212005238,8,4,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana-Sp0,14,7,49,2.032158859,0.067531332,9,2,False,False
6,157,Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,7,8,107,0.9380991329999999,0.208698999,9,3,Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,5,3,70,1.4240139809999999,0.12481813300000001,1,5,False,False
7,6,Fuca-Sp8,15,16,106,0.939962582,0.208289909,3,8,Fuca-Sp8,11,7,68,1.473835719,0.118479475,7,7,False,False
8,152,Galb1-4(Fuca1-3)GlcNAcb-Sp8,6,7,103,0.969376725,0.201929847,5,4,Galb1-4(Fuca1-3)GlcNAcb-Sp8,14,4,25,3.985412596,0.014138723,8,4,False,False
9,134,GlcNAcb1-6(Galb1-3)GalNAca-Sp14,5,5,101,0.986620485,0.19828584800000001,6,3,GlcNAcb1-6(Galb1-3)GalNAca-Sp14,5,3,70,1.422233352,0.12505138,1,5,False,False
10,401,Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,4,4,101,0.99045637,0.19748366899999997,11,9,Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,5,3,59,1.6953617730000001,0.094288773,1,4,False,False
11,15,GalNAcb-Sp8,8,8,101,0.993805917,0.196785696,4,4,GalNAcb-Sp8,4,5,123,0.815432777,0.237272565,4,9,False,False
12,262,Fuca1-2Galb1-4(6S)Glcb-Sp0,4,4,101,0.994237092,0.196696018,1,7,Fuca1-2Galb1-4(6S)Glcb-Sp0,4,4,100,1.0032409629999999,0.19483213100000002,0,6,False,False
13,349,Galb1-4GlcNAcb1-2Mana1-3Manb1-4GlcNAcb1-4GlcNAc-Sp12,11,11,101,0.99498889,0.19653974600000002,14,17,Galb1-4GlcNAcb1-2Mana1-3Manb1-4GlcNAcb1-4GlcNAc-Sp12,2,2,109,0.919193072,0.21289132,7,2,False,False
14,14,Manb-Sp8,7,7,100,0.995083327,0.196520124,8,5,Manb-Sp8,1,4,430,0.232329918,0.415614517,18,9,False,False
