,Chart Number,Glycan Name_Seal,Average RFU_Seal,StDev_Seal,% CV_Seal,t-value_Seal,p-value_Seal,Glycan Name_Human,Average RFU_Human,StDev_Human,% CV_Human,t-value_Human,p-value_Human,alpha(2-3),alpha(2-6)
55,393,GalNAca1-3(Fuca1-2)Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,94.3496,6.733102174,7.136333566,10.59683904,0.000897762,GalNAca1-3(Fuca1-2)Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,76.002175,18.12481302,23.8477557,2.758769149,0.0351123,FALSE,FALSE
47,272,Neu5Aca2-6Galb1-4Glcb-Sp0,308.335425,30.65570606,9.942323707,9.307742724,0.00131265,Neu5Aca2-6Galb1-4Glcb-Sp0,13.1527,6.351624124,48.29140879,-2.022679515,,FALSE,TRUE
48,605,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,18.94,11.97785343,63.2410424,-0.338958898,,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,176.269775,12.59776594,7.146866752,11.92828758,0.000633616,FALSE,TRUE
49,606,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13.10385,4.703379157,35.89310895,-2.104051081,,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1150.56975,135.9731438,11.81789664,8.270528417,0.001851158,FALSE,TRUE
50,271,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,7.26915,7.869876454,108.2640536,-1.998868736,,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,226.25435,29.69010989,13.1224482,6.744816733,0.003328034,FALSE,TRUE
51,270,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,5.471575,9.577301326,175.0373764,-1.830205024,,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,1545.481225,88.53725312,5.728782187,17.1620552,0.000215501,FALSE,TRUE
52,502,Neu5Aca2-6GalNAcb1-4(6S)GlcNAcb-Sp8,5.321975,8.417519616,158.1653355,-2.100146576,,Neu5Aca2-6GalNAcb1-4(6S)GlcNAcb-Sp8,77.29505,9.559299056,12.36728491,5.365984441,0.006334229,FALSE,TRUE
53,332,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,2.194875,7.653024401,348.6770044,-2.718549414,,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1451.6496,99.57531582,6.859459461,14.3172993,0.000369218,FALSE,TRUE
54,601,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,-2.19815,3.768254436,-171.4284483,-6.686955572,,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,248.185425,10.52960691,4.242637097,21.101018,0.000116421,FALSE,TRUE
0,244,Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,226.048325,16.28623306,7.204757238,12.46748246,0.000556079,Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,5.386275,5.243308992,97.34573507,-3.931434335,,TRUE,TRUE
